EquipmentIDChar,EquipmentIDNum,EquipmentName,Description,Status,Location
HMB,HMB001,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB002,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB003,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB004,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB005,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB006,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB007,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB008,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB009,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB010,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB011,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB012,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB013,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB014,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB015,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB016,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB017,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB018,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB019,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB020,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB021,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB022,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB023,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB024,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB025,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB026,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB027,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB028,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB029,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB030,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB031,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB032,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB033,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB034,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB035,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB036,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB037,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,HMB038,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB039,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB040,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB041,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB042,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB043,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB044,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB045,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB046,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB047,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB048,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB049,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,HMB050,Ball-peen Hammer,16 OZ,Available,Primary
HMB,HMB051,Ball-peen Hammer,16 OZ,Checked Out,Out
