EquipmentIDChar,EquipmentIDNum,EQUIPMENTNAME,DESCRIPTION,STATUS,LOCATON
HMB,1,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,2,Ball-peen Hammer,16 OZ,Available,Primary
HMB,3,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,4,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,5,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,6,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,7,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,8,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,9,Ball-peen Hammer,16 OZ,Available,Primary
HMB,10,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,11,Ball-peen Hammer,16 OZ,Available,Primary
HMB,12,Ball-peen Hammer,16 OZ,Available,Primary
HMB,13,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,14,Ball-peen Hammer,16 OZ,Available,Primary
HMB,15,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,16,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,17,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,18,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,19,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,20,Ball-peen Hammer,16 OZ,Available,Primary
HMB,21,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,22,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,23,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,24,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,25,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,26,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,27,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,28,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,29,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,30,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,31,Ball-peen Hammer,16 OZ,Available,Primary
HMB,32,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,33,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,34,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,35,Ball-peen Hammer,16 OZ,Available,Primary
HMB,36,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,37,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,38,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,39,Ball-peen Hammer,16 OZ,Available,Primary
HMB,40,Ball-peen Hammer,16 OZ,Available,Primary
HMB,41,Ball-peen Hammer,16 OZ,Available,Primary
HMB,42,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,43,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,44,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,45,Ball-peen Hammer,16 OZ,Available,Primary
HMB,46,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,47,Ball-peen Hammer,16 OZ,Available,Primary
HMB,48,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,49,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,50,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,51,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,52,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,53,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,54,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,55,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,56,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,57,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,58,Ball-peen Hammer,16 OZ,Available,Primary
HMB,59,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,60,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,61,Ball-peen Hammer,16 OZ,Available,Primary
HMB,62,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,63,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,64,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,65,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,66,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,67,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,68,Ball-peen Hammer,16 OZ,Available,Primary
HMB,69,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,70,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,71,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,72,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,73,Ball-peen Hammer,16 OZ,Available,Primary
HMB,74,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,75,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,76,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,77,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,78,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,79,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,80,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,81,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,82,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,83,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,84,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,85,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,86,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,87,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,88,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,89,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,90,Ball-peen Hammer,16 OZ,Available,Primary
HMB,91,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,92,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,93,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,94,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,95,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,96,Ball-peen Hammer,16 OZ,Available,Primary
HMB,97,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,98,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,99,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,100,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,101,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,102,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,103,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,104,Ball-peen Hammer,16 OZ,Available,Primary
HMB,105,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,106,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,107,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,108,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,109,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,110,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,111,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,112,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,113,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,114,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,115,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,116,Ball-peen Hammer,16 OZ,Available,Primary
HMB,117,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,118,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,119,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,120,Ball-peen Hammer,16 OZ,Checked Out,Out
