EqupmentIDChar,EquipmentIDNum,EquipmentName,Description,Status,Location
HMB,002,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,003,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,004,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,005,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,006,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,007,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,008,Ball-peen Hammer,16 OZ,Available,Primary
HMB,009,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,010,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,011,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,012,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,013,Ball-peen Hammer,16 OZ,Available,Primary
HMB,014,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,015,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,016,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,017,Ball-peen Hammer,16 OZ,Available,Primary
HMB,018,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,019,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,020,Ball-peen Hammer,16 OZ,Available,Primary
HMB,021,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,022,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,023,Ball-peen Hammer,16 OZ,Available,Primary
HMB,024,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,025,Ball-peen Hammer,16 OZ,Available,Primary
HMB,026,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,027,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,028,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,029,Ball-peen Hammer,16 OZ,Available,Primary
HMB,030,Ball-peen Hammer,16 OZ,Available,Primary
HMB,031,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,032,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,033,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,034,Ball-peen Hammer,16 OZ,Available,Primary
HMB,035,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,036,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,037,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,038,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,039,Ball-peen Hammer,16 OZ,Available,Primary
HMB,040,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,041,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,042,Ball-peen Hammer,16 OZ,Checked Out,Out
HMB,043,Ball-peen Hammer,16 OZ,Available,Primary
HMB,044,Ball-peen Hammer,16 OZ,Available,Secondary
HMB,045,Ball-peen Hammer,16 OZ,Checked Out,Out
